State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
AL,Alabama,18.5,26.5,44833
AL,Autauga County,12.7,18.8,56580
AL,Baldwin County,12.9,19.6,52387
AL,Barbour County,32,45.2,31433
AL,Bibb County,22.2,29.3,40767
AL,Blount County,14.7,22.2,50487
AL,Bullock County,39.6,51.2,28251
AL,Butler County,25.8,36,33868
AL,Calhoun County,20,30.7,42091
AL,Chambers County,22.4,34.4,35560
AL,Cherokee County,19.4,30.2,39144
AL,Chilton County,20.2,28.1,42767
AL,Choctaw County,24.4,33.5,35089
AL,Clarke County,22.2,30.9,37317
AL,Clay County,18.4,27.3,38908
AL,Cleburne County,18.9,27.7,42136
AL,Coffee County,16.2,23.7,46858
AL,Colbert County,18.1,26.9,41171
AL,Conecuh County,28.3,41,29981
AL,Coosa County,20.3,32.2,36078
AL,Covington County,22.3,34.1,36355
AL,Crenshaw County,19.9,29.6,36759
AL,Cullman County,19.4,24.7,39290
AL,Dale County,18.5,29,45294
AL,Dallas County,34.6,50.1,29682
AL,DeKalb County,20.6,28.9,37305
AL,Elmore County,14,19.9,53548
AL,Escambia County,24.4,32,36840
AL,Etowah County,19,30.7,42145
AL,Fayette County,20.4,29.4,37085
AL,Franklin County,21.1,32.4,38535
AL,Geneva County,22.4,34.8,36289
AL,Greene County,37.7,54.7,25398
AL,Hale County,28.5,38.6,35470
AL,Henry County,17,27.5,42501
AL,Houston County,18.3,29.5,43568
AL,Jackson County,18.4,26.9,40201
AL,Jefferson County,18,26.2,48415
AL,Lamar County,24.7,33.8,36520
AL,Lauderdale County,17.3,23.9,43008
AL,Lawrence County,18.7,26.4,41771
AL,Lee County,21,20.7,46442
AL,Limestone County,14.3,18.8,55060
AL,Lowndes County,35.2,46.7,31117
AL,Macon County,32.2,46.1,29522
AL,Madison County,13.3,19.1,59117
AL,Marengo County,23.3,34.8,35389
AL,Marion County,19.8,30.4,34977
AL,Marshall County,20.1,32.7,40599
AL,Mobile County,18.4,26.9,42530
AL,Monroe County,28.6,35.7,35163
AL,Montgomery County,22.8,33.8,42666
AL,Morgan County,16.4,24,47234
AL,Perry County,40,54.4,26218
AL,Pickens County,24.3,35.3,33160
AL,Pike County,25.9,36,34442
AL,Randolph County,18.7,31.7,37333
AL,Russell County,23,36.3,36124
AL,St. Clair County,12.4,17.5,53558
AL,Shelby County,8.5,10.2,70879
AL,Sumter County,33.2,44.2,25931
AL,Talladega County,22.4,31.1,37911
AL,Tallapoosa County,21.7,34.5,39051
AL,Tuscaloosa County,20,25.1,47868
AL,Walker County,20.6,31.1,37305
AL,Washington County,22.4,31.5,42658
AL,Wilcox County,33.2,49.2,23014
AL,Winston County,18.9,29.3,36497
AK,Alaska,10.4,14.5,73391
AK,Aleutians East Borough,17.4,15.5,57015
AK,Aleutians West Census Area,8.5,8.5,80695
AK,Anchorage Borough,8.7,12.4,77791
AK,Bethel Census Area,24.2,31.5,44849
AK,Bristol Bay Borough,9,8.6,66373
AK,Denali Borough,6.6,10.2,73000
AK,Dillingham Census Area,20,30.4,50753
AK,Fairbanks North Star Borough,8.1,10.1,70881
AK,Haines Borough,10.9,20.2,57876
AK,Hoonah-Angoon Census Area,16.2,29.2,53726
AK,Juneau Borough,8,10.1,82892
AK,Kenai Peninsula Borough,11.4,14,62025
AK,Ketchikan Gateway Borough,10.3,14.4,65314
AK,Kodiak Island Borough,7.5,9.3,67515
AK,Kusilvak Census Area,31.8,43.4,33511
AK,Lake and Peninsula Borough,19.3,31.4,42120
AK,Matanuska-Susitna Borough,9.8,11.8,76601
AK,Nome Census Area,21.4,27.6,52952
AK,North Slope Borough,12.6,17.6,70834
AK,Northwest Arctic Borough,26.3,34.9,53774
AK,Petersburg Borough,7.9,10.3,63098
AK,Prince of Wales-Hyder Census Area,15.6,23.8,45305
AK,Sitka Borough,9.2,10.4,68472
AK,Skagway Municipality,3.7,6.3,65878
AK,Southeast Fairbanks Census Area,13.5,21.4,60203
AK,Valdez-Cordova Census Area,9.5,12.2,70101
AK,Wrangell City and Borough,12,16,54500
AK,Yakutat Borough,15.4,26.1,53795
AK,Yukon-Koyukuk Census Area,23.4,34.4,37755
AZ,Arizona,17.4,24.7,51473
AZ,Apache County,38,44.7,31072
AZ,Cochise County,16.9,25.7,43451
AZ,Coconino County,19.5,20.7,51955
AZ,Gila County,21.3,36.6,41346
AZ,Graham County,22.9,26.9,44169
AZ,Greenlee County,10.1,11.3,58854
AZ,La Paz County,22.2,36.9,34835
AZ,Maricopa County,16.3,23,56017
AZ,Mohave County,17.4,29.8,40360
AZ,Navajo County,28.1,36.7,37658
AZ,Pima County,18.7,27.7,47107
AZ,Pinal County,15.8,21.6,50888
AZ,Santa Cruz County,24.4,36.7,34893
AZ,Yavapai County,15.1,23.4,47220
AZ,Yuma County,21.1,30.8,40426
AR,Arkansas,18.7,26.4,42046
AR,Arkansas County,20.7,30.5,41179
AR,Ashley County,19.6,31.2,39871
AR,Baxter County,16.4,28.5,36902
AR,Benton County,10.8,15.3,60294
AR,Boone County,16.5,25.1,40909
AR,Bradley County,28,40.2,37331
AR,Calhoun County,16.7,23.1,40526
AR,Carroll County,16.6,27.7,37587
AR,Chicot County,31.4,43.2,29968
AR,Clark County,22.5,28.2,37856
AR,Clay County,20.8,27.9,35324
AR,Cleburne County,15.6,24.7,43913
AR,Cleveland County,18.1,25.9,44123
AR,Columbia County,23.8,32.8,38057
AR,Conway County,17.8,29.1,43702
AR,Craighead County,17.3,24.3,42460
AR,Crawford County,14.4,22.5,46545
AR,Crittenden County,25.9,37.3,37371
AR,Cross County,21.5,31.8,39132
AR,Dallas County,21.3,35.9,33352
AR,Desha County,30.9,45.7,30987
AR,Drew County,21.2,29.3,39339
AR,Faulkner County,14.8,17,51157
AR,Franklin County,18.2,26.9,41933
AR,Fulton County,19.4,34.2,34717
AR,Garland County,19.3,28.2,37723
AR,Grant County,13.2,18.8,47652
AR,Greene County,17.1,24.9,43996
AR,Hempstead County,24.1,34.1,34560
AR,Hot Spring County,20.8,28.1,39851
AR,Howard County,18.7,30.7,33199
AR,Independence County,18,26.8,38241
AR,Izard County,19.8,31.4,35355
