,score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,cls_profs,cls_credits,bty_f1lower,bty_f1upper,bty_f2upper,bty_m1lower,bty_m1upper,bty_m2upper,bty_avg,tenure_eligible
0,4.7,tenure track,minority,female,english,36,55.81395,24,43,upper,single,multi credit,5,7,6,2,4,6,5.0,1
1,4.1,tenure track,minority,female,english,36,68.8,86,125,upper,single,multi credit,5,7,6,2,4,6,5.0,1
2,3.9,tenure track,minority,female,english,36,60.8,76,125,upper,single,multi credit,5,7,6,2,4,6,5.0,1
3,4.8,tenure track,minority,female,english,36,62.60163000000001,77,123,upper,single,multi credit,5,7,6,2,4,6,5.0,1
4,4.6,tenured,not minority,male,english,59,85.0,17,20,upper,multiple,multi credit,4,4,2,2,3,3,3.0,1
5,4.3,tenured,not minority,male,english,59,87.5,35,40,upper,multiple,multi credit,4,4,2,2,3,3,3.0,1
6,2.8,tenured,not minority,male,english,59,88.63636,39,44,upper,multiple,multi credit,4,4,2,2,3,3,3.0,1
7,4.1,tenured,not minority,male,english,51,100.0,55,55,upper,single,multi credit,5,2,5,2,3,3,3.3333333333333335,1
8,3.4,tenured,not minority,male,english,51,56.923080000000006,111,195,upper,single,multi credit,5,2,5,2,3,3,3.3333333333333335,1
9,4.5,tenured,not minority,female,english,40,86.95652,40,46,upper,single,multi credit,2,5,4,3,3,2,3.1666666666666665,1
10,3.8,tenured,not minority,female,english,40,88.88889,24,27,upper,single,multi credit,2,5,4,3,3,2,3.1666666666666665,1
11,4.5,tenured,not minority,female,english,40,96.0,24,25,upper,multiple,multi credit,2,5,4,3,3,2,3.1666666666666665,1
12,4.6,tenured,not minority,female,english,40,85.0,17,20,upper,single,multi credit,2,5,4,3,3,2,3.1666666666666665,1
13,3.9,tenured,not minority,female,english,40,56.0,14,25,upper,single,multi credit,2,5,4,3,3,2,3.1666666666666665,1
14,3.9,tenured,not minority,female,english,40,88.09524,37,42,upper,single,multi credit,2,5,4,3,3,2,3.1666666666666665,1
15,4.3,tenured,not minority,female,english,40,90.0,18,20,upper,multiple,multi credit,2,5,4,3,3,2,3.1666666666666665,1
16,4.5,tenured,not minority,female,english,40,83.33334,15,18,upper,multiple,multi credit,2,5,4,3,3,2,3.1666666666666665,1
17,4.8,tenure track,not minority,female,english,31,87.5,42,48,upper,multiple,multi credit,7,9,9,7,6,6,7.333333333333333,1
18,4.6,tenure track,not minority,female,english,31,90.90909,40,44,upper,multiple,multi credit,7,9,9,7,6,6,7.333333333333333,1
19,4.6,tenure track,not minority,female,english,31,79.16666,38,48,upper,multiple,multi credit,7,9,9,7,6,6,7.333333333333333,1
20,4.9,tenure track,not minority,female,english,31,88.88889,40,45,upper,multiple,multi credit,7,9,9,7,6,6,7.333333333333333,1
21,4.6,tenure track,not minority,female,english,31,88.13559000000001,52,59,upper,multiple,multi credit,7,9,9,7,6,6,7.333333333333333,1
