EventDate,TheatreCode
16591029,city
16591100,mt
16591218,none
16600200,mt
16600204,cockpit
16600328,dh
16600406,none
16600412,vh
16600413,fh
16600416,none
16600423,none
16600500,redbull
16600529,none
16600600,dc
16600600,redbull
16600623,redbull
16600705,city
16600728,cockpit
16600800,atcourt
16600803,redbull
16600807,none
16600808,none
16600814,redbull
16600816,atcourt
16600818,cockpit
16600820,none
16600910,sf
16600913,none
16600913,sf
16601008,cockpit
16601011,cockpit
16601016,cockpit
16601029,city
16601030,cockpit
16601100,none
16601102,mt
16601105,redbull
16601106,redbull
16601107,redbull
16601108,vere
16601109,vere
16601110,vere
16601112,vere
16601113,vere
16601115,vere
16601115,salsbury
16601116,vere
16601117,vere
16601119,vere
16601119,atcourt
16601120,vere
16601121,vere
16601122,vere
16601123,vere
16601124,vere
16601126,vere
16601127,vere
16601129,vere
16601200,vere
16601201,vere
16601203,vere
16601204,vere
16601205,vere
16601206,vere
16601208,vere
16601212,salsbury
16601213,vere
16601231,vere
16610103,vere
16610104,vere
16610107,vere
16610108,vere
16610109,vere
16610119,vere
16610125,vere
16610128,vere
16610129,salsbury
16610130,none
16610131,vere
16610205,vere
16610209,salsbury
16610212,vere
16610216,vere
16610223,salsbury
16610225,atcourt
16610226,atcourt
16610227,none
16610301,salsbury
16610302,vere
16610302,salsbury
16610311,vere
16610314,vere
16610316,salsbury
16610319,salsbury
16610323,redbull
16610325,salsbury
16610326,salsbury
16610328,vere
16610401,salsbury
16610402,salsbury
16610406,salsbury
16610408,none
16610420,atcourt
16610422,none
16610422,none
16610422,none
16610427,vere
16610500,vere
16610505,none
16610516,vere
16610525,vere
16610528,redbull
16610604,vere
16610608,vere
16610614,vere
16610622,vere
16610627,vere
16610628,lif
16610629,lif
16610701,lif
16610702,lif
16610703,lif
16610704,lif
16610704,vere
16610705,lif
16610706,lif
16610708,lif
16610709,lif
16610710,lif
16610711,lif
16610713,none
16610723,vere
16610725,vere
16610731,vere
16610810,vere
16610814,vere
16610815,lif
16610816,lif
16610816,vere
16610817,lif
16610819,lif
16610820,lif
16610821,lif
16610822,lif
16610822,redbull
16610822,bf
16610823,lif
16610824,lif
16610826,vere
16610827,vere
16610830,cockpit
16610831,bf
16610905,sf
16610906,vere
16610907,vere
16610909,salsbury
16610909,vere
16610911,lif
16610925,vere
16610926,vere
16610928,vere
16611002,vere
16611004,vere
16611008,vere
16611009,vere
16611010,vere
16611021,lif
16611023,lif
16611025,lif
16611026,vere
16611028,vere
16611029,city
16611101,vere
16611101,mt
16611104,lif
16611111,lif
16611112,vere
16611113,vere
16611113,cockpit
16611115,lif
16611118,vere
16611125,vere
16611125,lif
16611126,vere
16611126,salsbury
16611127,vere
16611129,vere
16611202,lif
16611202,atcourt
16611204,none
16611205,lif
16611210,vere
16611211,vere
16611213,vere
16611216,lif
16611216,vere
16611216,atcourt
16611217,lif
16611218,lif
16611218,vere
16611219,lif
16611220,lif
16611220,vere
16611221,lif
16611223,vere
16611228,vere
16611230,vere
16620101,vere
16620103,li
16620106,vere
16620109,lif
16620110,vere
16620111,vere
16620115,none
16620116,atcourt
16620120,cockpit
16620121,vere
16620122,redbull
16620125,redbull
16620128,vere
16620129,lif
16620130,none
16620205,vere
16620206,vere
16620206,atcourt
16620211,vere
16620211,atcourt
16620212,none
16620213,vere
16620215,vere
16620215,lif
16620218,lif
16620225,vere
16620227,vere
16620301,lif
16620301,vere
16620303,vere
16620311,vere
16620315,vere
16620322,vere
16620324,none
16620325,redbull
16620331,vere
16620401,lif
16620402,lif
16620404,vere
16620419,vere
16620423,vere
16620428,redbull
16620505,vere
16620507,vere
16620509,cg
16620512,vere
16620517,vere
16620519,vere
16620520,lif
16620521,vere
16620522,vere
16620523,lif
16620523,cg
16620526,redbull
16620602,vere
16620606,vere
16620707,vere
16620723,vere
16620823,thames
16620900,none
16620922,atcourt
16620924,vere
16620929,vere
16620930,lif
16621002,atcourt
16621008,atcourt
16621016,atcourt
16621018,lif
16621020,lif
16621021,lif
16621021,cockpit
16621022,lif
16621023,lif
16621024,lif
16621025,lif
16621027,atcourt
16621028,lif
16621029,city
16621101,it
16621101,mt
16621101,atcourt
16621110,cc
16621110,atcourt
16621117,atcourt
16621120,atcourt
16621127,atcourt
16621201,atcourt
16621208,atcourt
16621215,none
16621217,atcourt
16621223,lif
16621226,lif
16630101,lif
16630105,atcourt
16630106,lif
16630106,sh
16630108,lif
16630109,lif
16630112,lif
16630112,lif
16630113,lif
16630114,lif
16630115,lif
16630116,lif
16630117,lif
16630119,lif
16630120,lif
16630121,lif
16630122,lif
16630130,none
16630202,mt
16630205,vere
16630206,bridges
16630209,atcourt
16630223,lif
16630223,atcourt
16630300,none
16630300,vere
16630304,none
16630309,lif
16630316,none
16630413,none
16630422,vere
16630500,none
16630507,bridges
16630508,bridges
16630509,bridges
16630511,bridges
16630512,bridges
16630513,bridges
16630514,bridges
16630515,bridges
16630516,bridges
16630518,bridges
16630519,bridges
16630520,bridges
16630528,lif
16630529,lif
16630600,lif
16630601,vere
16630610,bridges
16630612,bridges
16630613,bridges
16630702,atcourt
16630722,lif
16630730,bridges
16630800,lif
16630806,none
16630825,none
16630825,bf
16630904,bf
16631000,lif
16631000,lif
16631024,lif
16631029,city
16631100,bridges
16631102,it
16631103,bridges
16631210,lif
16631210,atcourt
16631222,lif
16631223,lif
16631226,lif
16631226,none
16631228,lif
16631229,lif
16631230,lif
16631231,lif
16640100,atcourt
16640100,lif
16640101,lif
16640102,bridges
16640125,bridges
16640126,bridges
16640127,bridges
16640128,bridges
16640129,bridges
16640130,none
16640201,bridges
16640202,bridges
16640202,it
16640203,bridges
16640204,bridges
16640205,bridges
16640208,lif
16640224,none
16640300,lif
16640300,lif
16640303,none
16640307,bridges
16640307,lif
16640308,lif
16640400,lif
16640404,none
16640415,lif
16640425,redbull
16640427,none
16640502,bridges
16640530,redbull
16640600,bridges
16640601,bridges
16640714,atcourt
16640720,lif
16640728,lif
16640802,bridges
16640803,bridges
16640804,bridges
16640808,bridges
16640813,lif
16640817,lif
16640818,bridges
16640902,bf
16640907,bf
16640910,lif
16640914,bridges
16640928,bridges
16640930,none
16641004,bridges
16641005,bridges
16641011,bridges
16641017,none
16641029,city
16641100,none
16641100,bridges
16641101,it
16641101,mt
16641105,lif
16641200,bridges
16641202,lif
16641219,atcourt
16650104,lif
16650106,lif
16650113,bridges
16650114,bridges
16650130,none
16650200,bridges
16650202,it
16650202,atcourt
16650208,none
16650209,none
16650300,mts
16650320,none
16650400,bridges
16650403,lif
16650404,lif
16650405,none
16650406,lif
16650417,lif
16650420,atcourt
16650504,none
16650515,bridges
16650605,none
16650807,bf
16660319,bridges
16660717,none
16660803,none
16660822,moorflds
16660829,moorflds
16660829,bridges
16660901,moorflds
16661010,none
16661011,atcourt
16661018,atcourt
16661025,none
16661029,atcourt
16661029,city
16661105,atcourt
16661114,none
16661120,none
16661126,atcourt
16661129,none
16661200,lif
16661203,atcourt
16661207,bridges
16661208,bridges
16661210,atcourt
16661210,atcourt
16661217,atcourt
16661220,bridges
16661225,none
16661226,lif
16661227,bridges
16661228,lif
16661228,atcourt
16670101,atcourt
16670102,bridges
16670105,lif
16670107,lif
16670115,bridges
16670122,bridges
16670123,bridges
16670124,bridges
16670130,none
16670200,lif
16670200,bridges
16670204,lif
16670205,bridges
16670212,none
16670213,none
16670214,atcourt
16670214,atcourt
16670214,bridges
16670216,none
16670218,bridges
16670220,none
16670227,lif
16670301,none
16670302,bridges
16670304,bridges
16670305,bridges
16670307,lif
16670314,bridges
16670320,lif
16670320,cc
16670321,lif
16670325,bridges
16670328,lif
16670330,lif
16670400,bridges
16670401,none
16670408,bridges
16670408,cc
16670409,lif
16670409,bridges
16670415,bridges
16670416,bridges
16670417,bridges
16670418,lif
16670418,atcourt
16670419,lif
16670420,bridges
16670420,lif
16670422,bridges
16670427,bridges
16670501,bridges
16670502,atcourt
16670506,lif
16670509,atcourt
16670513,bridges
16670516,atcourt
16670518,bridges
16670521,lif
16670522,bridges
16670524,bridges
16670606,none
16670713,none
16670720,lif
